"userid","expertise","language_skill","gender","age","country","continent"
873,"2 Music-loving nonmusician","5 Full professional proficiency","male",37,"US","North America"
874,"3 Amateur musician","5 Full professional proficiency","male",30,"IN","Asia"
875,"4 Serious amateur musician","2 Elementary proficiency","male",18,"VE","South America"
877,"5 Semi-professional musician","6 Native or bilingual proficiency","male",29,"ZA","Africa"
879,"3 Amateur musician","5 Full professional proficiency","male",25,"MA","Africa"
880,"2 Music-loving nonmusician","3 Limited working proficiency","male",36,"ID","Asia"
881,"2 Music-loving nonmusician","2 Elementary proficiency","male",23,"VE","South America"
882,"3 Amateur musician","1 No proficiency","male",25,"BA","Europe"
883,"1 Nonmusician","6 Native or bilingual proficiency","female",37,"IE","Europe"
884,"3 Amateur musician","2 Elementary proficiency","male",35,"MX","North America"
885,"1 Nonmusician","2 Elementary proficiency","male",50,"ES","Europe"
886,"2 Music-loving nonmusician","5 Full professional proficiency","female",33,"CL","South America"
887,"1 Nonmusician","4 Professional working proficiency","male",25,"MK","Europe"
888,"1 Nonmusician","5 Full professional proficiency","male",20,"IN","Asia"
889,"1 Nonmusician","4 Professional working proficiency","female",27,"BA","Europe"
890,"1 Nonmusician","2 Elementary proficiency","male",70,"NL","Europe"
891,"2 Music-loving nonmusician","6 Native or bilingual proficiency","female",38,"GB","Europe"
892,"1 Nonmusician","3 Limited working proficiency","male",27,"PL","Europe"
894,"2 Music-loving nonmusician","4 Professional working proficiency","male",37,"MA","Africa"
895,"1 Nonmusician","6 Native or bilingual proficiency","male",19,"RS","Europe"
896,"3 Amateur musician","3 Limited working proficiency","male",26,"VE","South America"
897,"1 Nonmusician","3 Limited working proficiency","male",21,"TN","Africa"
898,"3 Amateur musician","5 Full professional proficiency","male",,"DZ","Africa"
899,"3 Amateur musician","2 Elementary proficiency","male",20,"PE","South America"
901,"1 Nonmusician","1 No proficiency","male",25,"GR","Europe"
902,"2 Music-loving nonmusician","4 Professional working proficiency","male",18,"PH","Asia"
903,"2 Music-loving nonmusician","4 Professional working proficiency","female",31,"PH","Asia"
904,"2 Music-loving nonmusician","6 Native or bilingual proficiency","male",24,"US","North America"
905,"3 Amateur musician","3 Limited working proficiency","male",29,"VE","South America"
906,"1 Nonmusician","1 No proficiency","male",22,"FR","Europe"
907,"4 Serious amateur musician","2 Elementary proficiency","female",78,"LV","Europe"
909,"1 Nonmusician","6 Native or bilingual proficiency","female",39,"HK","Asia"
910,"2 Music-loving nonmusician","6 Native or bilingual proficiency","male",19,"SG","Asia"
911,"2 Music-loving nonmusician","5 Full professional proficiency","male",26,"IT","Europe"
913,"3 Amateur musician","4 Professional working proficiency","male",39,"PT","Europe"
915,"2 Music-loving nonmusician","6 Native or bilingual proficiency","female",35,"CA","North America"
916,"1 Nonmusician","1 No proficiency","female",46,"GR","Europe"
917,"1 Nonmusician","2 Elementary proficiency","male",39,"RS","Europe"
918,"2 Music-loving nonmusician","3 Limited working proficiency","male",,"ID","Asia"
919,"2 Music-loving nonmusician","4 Professional working proficiency","male",,"MX","North America"
920,"2 Music-loving nonmusician","6 Native or bilingual proficiency","male",42,"IE","Europe"
922,"6 Professional musician","1 No proficiency","male",22,"PE","South America"
923,"2 Music-loving nonmusician","3 Limited working proficiency","male",31,"PT","Europe"
924,"1 Nonmusician","6 Native or bilingual proficiency","male",23,"VE","South America"
925,"3 Amateur musician","5 Full professional proficiency","female",19,"PH","Asia"
926,"2 Music-loving nonmusician","4 Professional working proficiency","male",64,"US","North America"
927,"1 Nonmusician","2 Elementary proficiency","male",36,"PT","Europe"
928,"2 Music-loving nonmusician","2 Elementary proficiency","male",25,"ES","Europe"
929,"3 Amateur musician","4 Professional working proficiency","male",37,"VE","South America"
934,"2 Music-loving nonmusician","3 Limited working proficiency","male",31,"ID","Asia"
935,"2 Music-loving nonmusician","4 Professional working proficiency","male",22,"VE","South America"
936,"1 Nonmusician","2 Elementary proficiency","female",36,"GB","Europe"
937,"2 Music-loving nonmusician","4 Professional working proficiency","female",32,"AR","South America"
939,"1 Nonmusician","2 Elementary proficiency","male",21,"BA","Europe"
941,"1 Nonmusician","6 Native or bilingual proficiency","female",48,"CA","North America"
944,"1 Nonmusician","2 Elementary proficiency","male",,"HR","Europe"
946,"1 Nonmusician","4 Professional working proficiency","male",36,"PH","Asia"
948,"2 Music-loving nonmusician","4 Professional working proficiency","male",23,"BA","Europe"
949,"2 Music-loving nonmusician","6 Native or bilingual proficiency","female",54,"US","North America"
950,"2 Music-loving nonmusician","6 Native or bilingual proficiency","female",34,"GB","Europe"
951,"2 Music-loving nonmusician","3 Limited working proficiency","male",22,"AR","South America"
956,"3 Amateur musician","5 Full professional proficiency","male",28,"HK","Asia"
957,"3 Amateur musician","4 Professional working proficiency","male",41,"ID","Asia"
959,"2 Music-loving nonmusician","2 Elementary proficiency","male",21,"TN","Africa"
962,"2 Music-loving nonmusician","4 Professional working proficiency","male",,"EG","Africa"
965,"2 Music-loving nonmusician","4 Professional working proficiency","male",26,"PT","Europe"
966,"1 Nonmusician","4 Professional working proficiency","male",31,"MY","Asia"
967,"2 Music-loving nonmusician","2 Elementary proficiency","male",30,"ES","Europe"
969,"2 Music-loving nonmusician","4 Professional working proficiency","female",22,"BG","Europe"
972,"1 Nonmusician","3 Limited working proficiency","male",25,"VE","South America"
973,"2 Music-loving nonmusician","2 Elementary proficiency","female",23,"HU","Europe"
974,"2 Music-loving nonmusician","3 Limited working proficiency","male",26,"VN","Asia"
975,"2 Music-loving nonmusician","6 Native or bilingual proficiency","male",51,"GB","Europe"
976,"3 Amateur musician","2 Elementary proficiency","male",40,"VE","South America"
979,"2 Music-loving nonmusician","3 Limited working proficiency","female",16,"DE","Europe"
980,"2 Music-loving nonmusician","5 Full professional proficiency","male",24,"US","North America"
982,"2 Music-loving nonmusician","2 Elementary proficiency","male",46,"NL","Europe"
983,"2 Music-loving nonmusician","1 No proficiency","male",20,"ID","Asia"
984,"1 Nonmusician","2 Elementary proficiency","male",31,"ID","Asia"
986,"3 Amateur musician","6 Native or bilingual proficiency","female",62,"CA","North America"
987,"3 Amateur musician","3 Limited working proficiency","male",24,"MX","North America"
988,"1 Nonmusician","4 Professional working proficiency","female",39,"VE","South America"
989,"3 Amateur musician","2 Elementary proficiency","male",30,"ID","Asia"
991,"4 Serious amateur musician","6 Native or bilingual proficiency","male",22,"PH","Asia"
992,"2 Music-loving nonmusician","1 No proficiency","male",30,"VN","Asia"
995,"5 Semi-professional musician","5 Full professional proficiency","female",25,"IT","Europe"
996,"2 Music-loving nonmusician","1 No proficiency","female",32,"PH","Asia"
998,"2 Music-loving nonmusician","6 Native or bilingual proficiency","female",34,"US","North America"
999,"3 Amateur musician","4 Professional working proficiency","male",30,"RS","Europe"
1000,"2 Music-loving nonmusician","4 Professional working proficiency","male",36,"AR","South America"
1001,"3 Amateur musician","2 Elementary proficiency","male",35,"ES","Europe"
1003,"2 Music-loving nonmusician","3 Limited working proficiency","female",32,"SV","North America"
1004,"3 Amateur musician","5 Full professional proficiency","male",,"US","North America"
1006,"3 Amateur musician","6 Native or bilingual proficiency","female",45,"CA","North America"
1010,"1 Nonmusician","6 Native or bilingual proficiency","female",40,"NZ","Oceania"
1011,"3 Amateur musician","2 Elementary proficiency","male",20,"MX","North America"
1012,"1 Nonmusician","3 Limited working proficiency","male",25,"VN","Asia"
1013,"1 Nonmusician","5 Full professional proficiency","female",21,"CA","North America"
1014,"1 Nonmusician","3 Limited working proficiency","male",34,"FI","Europe"
1015,"2 Music-loving nonmusician","3 Limited working proficiency","male",33,"RS","Europe"
1018,"1 Nonmusician","4 Professional working proficiency","male",49,"VE","South America"
1019,"2 Music-loving nonmusician","1 No proficiency","female",28,"VN","Asia"
1020,"4 Serious amateur musician","6 Native or bilingual proficiency","male",21,"VE","South America"
1023,"2 Music-loving nonmusician","3 Limited working proficiency","male",35,"MX","North America"
1026,"6 Professional musician","6 Native or bilingual proficiency","female",24,"IN","Asia"
1027,"2 Music-loving nonmusician","5 Full professional proficiency","male",29,"VE","South America"
1028,"3 Amateur musician","3 Limited working proficiency","male",22,"VE","South America"
1030,"2 Music-loving nonmusician","1 No proficiency","male",20,"IN","Asia"
1035,"1 Nonmusician","2 Elementary proficiency","male",22,"VN","Asia"
1036,"4 Serious amateur musician","6 Native or bilingual proficiency","male",23,"AR","South America"
1039,"2 Music-loving nonmusician","6 Native or bilingual proficiency","female",46,"GB","Europe"
1041,"4 Serious amateur musician","4 Professional working proficiency","male",34,"CO","South America"
1043,"1 Nonmusician","3 Limited working proficiency","male",40,"MY","Asia"
1044,"2 Music-loving nonmusician","3 Limited working proficiency","female",29,"ID","Asia"
1046,"2 Music-loving nonmusician","3 Limited working proficiency","male",24,"VE","South America"
1047,"2 Music-loving nonmusician","3 Limited working proficiency","male",29,"IN","Asia"
1048,"2 Music-loving nonmusician","4 Professional working proficiency","male",,"IN","Asia"
1049,"2 Music-loving nonmusician","5 Full professional proficiency","male",25,"IN","Asia"
1051,"2 Music-loving nonmusician","2 Elementary proficiency","male",24,"VE","South America"
1052,"2 Music-loving nonmusician","6 Native or bilingual proficiency","female",27,"GB","Europe"
1053,"1 Nonmusician","2 Elementary proficiency","male",24,"BD","Asia"
1055,"2 Music-loving nonmusician","6 Native or bilingual proficiency","female",26,"PT","Europe"
1056,"1 Nonmusician","3 Limited working proficiency","male",59,"IN","Asia"
1057,"3 Amateur musician","2 Elementary proficiency","female",20,"AR","South America"
1059,"1 Nonmusician","4 Professional working proficiency","male",32,"ID","Asia"
1060,"3 Amateur musician","3 Limited working proficiency","male",33,"IN","Asia"
1063,"1 Nonmusician","4 Professional working proficiency","male",43,"IN","Asia"
1064,"2 Music-loving nonmusician","6 Native or bilingual proficiency","male",34,"PL","Europe"
1065,"2 Music-loving nonmusician","5 Full professional proficiency","male",43,"IN","Asia"
1066,"5 Semi-professional musician","4 Professional working proficiency","male",23,"VE","South America"
1070,"3 Amateur musician","2 Elementary proficiency","male",24,"ID","Asia"
1073,"2 Music-loving nonmusician","4 Professional working proficiency","male",36,"AR","South America"
1075,"2 Music-loving nonmusician","2 Elementary proficiency","female",28,"ID","Asia"
1076,"2 Music-loving nonmusician","3 Limited working proficiency","male",28,"VE","South America"
1077,"3 Amateur musician","3 Limited working proficiency","male",33,"VE","South America"
1079,"2 Music-loving nonmusician","4 Professional working proficiency","female",25,"ID","Asia"
1080,"1 Nonmusician","3 Limited working proficiency","male",25,"VN","Asia"
1083,"3 Amateur musician","3 Limited working proficiency","male",26,"ID","Asia"
1084,"1 Nonmusician","4 Professional working proficiency","female",31,"PH","Asia"
1085,"1 Nonmusician","4 Professional working proficiency","female",44,"CA","North America"
1086,"3 Amateur musician","2 Elementary proficiency","male",38,"VE","South America"
1088,"2 Music-loving nonmusician","6 Native or bilingual proficiency","male",25,"IN","Asia"
1089,"2 Music-loving nonmusician","4 Professional working proficiency","male",43,"PH","Asia"
1090,"3 Amateur musician","3 Limited working proficiency","female",27,"RO","Europe"
1091,"2 Music-loving nonmusician","5 Full professional proficiency","female",56,"CA","North America"
1092,"3 Amateur musician","6 Native or bilingual proficiency","male",31,"VE","South America"
1093,"2 Music-loving nonmusician","4 Professional working proficiency","male",18,"PH","Asia"
1094,"1 Nonmusician","2 Elementary proficiency","male",37,"PK","Asia"
1095,"1 Nonmusician","6 Native or bilingual proficiency","male",33,"GB","Europe"
1096,"2 Music-loving nonmusician","6 Native or bilingual proficiency","female",,"US","North America"
1099,"1 Nonmusician","4 Professional working proficiency","male",29,"PT","Europe"
1102,"1 Nonmusician","6 Native or bilingual proficiency","male",20,"VE","South America"
1104,"3 Amateur musician","2 Elementary proficiency","male",23,"PH","Asia"
1105,"2 Music-loving nonmusician","5 Full professional proficiency","male",18,"MX","North America"
1106,"4 Serious amateur musician","3 Limited working proficiency","male",23,"MX","North America"
1107,"2 Music-loving nonmusician","4 Professional working proficiency","male",50,"CA","North America"
1109,"2 Music-loving nonmusician","4 Professional working proficiency","female",37,"CA","North America"
1110,"2 Music-loving nonmusician","6 Native or bilingual proficiency","female",58,"US","North America"
1111,"2 Music-loving nonmusician","5 Full professional proficiency","female",77,"IN","Asia"
1113,"2 Music-loving nonmusician","1 No proficiency","male",46,"RU","Europe"
1114,"2 Music-loving nonmusician","6 Native or bilingual proficiency","female",31,"ID","Asia"
1115,"2 Music-loving nonmusician","4 Professional working proficiency","male",25,"IN","Asia"
1116,"1 Nonmusician","6 Native or bilingual proficiency","female",54,"NZ","Oceania"
1118,"2 Music-loving nonmusician","3 Limited working proficiency","male",27,"KZ","Asia"
1119,"1 Nonmusician","4 Professional working proficiency","male",25,"IN","Asia"
1120,"2 Music-loving nonmusician","3 Limited working proficiency","male",21,"BR","South America"
1122,"1 Nonmusician","4 Professional working proficiency","female",17,"CA","North America"
1123,"2 Music-loving nonmusician","4 Professional working proficiency","female",21,"PH","Asia"
1125,"1 Nonmusician","6 Native or bilingual proficiency","male",37,"GB","Europe"
1127,"1 Nonmusician","5 Full professional proficiency","male",39,"IN","Asia"
1129,"1 Nonmusician","3 Limited working proficiency","male",26,"NP","Asia"
1135,"1 Nonmusician","1 No proficiency","female",25,"IN","Asia"
1136,"2 Music-loving nonmusician","2 Elementary proficiency","male",20,"IN","Asia"
1138,"1 Nonmusician","4 Professional working proficiency","male",43,"VE","South America"
1139,"3 Amateur musician","1 No proficiency","male",30,"AR","South America"
1141,"2 Music-loving nonmusician","5 Full professional proficiency","male",30,"IN","Asia"
1142,"2 Music-loving nonmusician","3 Limited working proficiency","male",20,"IN","Asia"
1144,"2 Music-loving nonmusician","4 Professional working proficiency","female",44,"PH","Asia"
1145,"4 Serious amateur musician","3 Limited working proficiency","male",27,"VE","South America"
1146,"3 Amateur musician","5 Full professional proficiency","male",36,"GR","Europe"
1147,"3 Amateur musician","3 Limited working proficiency","male",31,"IT","Europe"
1148,"1 Nonmusician","4 Professional working proficiency","male",35,"ES","Europe"
1149,"2 Music-loving nonmusician","4 Professional working proficiency","male",31,"BR","South America"
1150,"3 Amateur musician","3 Limited working proficiency","female",39,"RU","Europe"
1151,"1 Nonmusician","4 Professional working proficiency","male",39,"BD","Asia"
1154,"3 Amateur musician","4 Professional working proficiency","male",20,"AR","South America"
1156,"4 Serious amateur musician","6 Native or bilingual proficiency","male",19,"US","North America"
1157,"2 Music-loving nonmusician","3 Limited working proficiency","male",33,"TR","Asia"
1158,"2 Music-loving nonmusician","2 Elementary proficiency","male",21,"IN","Asia"
1159,"2 Music-loving nonmusician","4 Professional working proficiency","female",41,"MX","North America"
1160,"2 Music-loving nonmusician","4 Professional working proficiency","male",19,"PT","Europe"
1165,"1 Nonmusician","4 Professional working proficiency","male",21,"VE","South America"
1166,"1 Nonmusician","2 Elementary proficiency","male",28,"ID","Asia"
1167,"3 Amateur musician","3 Limited working proficiency","male",24,"VE","South America"
1168,"1 Nonmusician","2 Elementary proficiency","male",39,"ID","Asia"
1169,"1 Nonmusician","4 Professional working proficiency","male",16,"IN","Asia"
1170,"2 Music-loving nonmusician","2 Elementary proficiency","male",21,"HR","Europe"
1171,"2 Music-loving nonmusician","4 Professional working proficiency","male",21,"IN","Asia"
1172,"2 Music-loving nonmusician","1 No proficiency","male",19,"IN","Asia"
1173,"2 Music-loving nonmusician","5 Full professional proficiency","male",21,"IN","Asia"
1174,"2 Music-loving nonmusician","4 Professional working proficiency","male",39,"RO","Europe"
1175,"1 Nonmusician","1 No proficiency","male",18,"PK","Asia"
1176,"2 Music-loving nonmusician","2 Elementary proficiency","male",18,"HU","Europe"
1177,"2 Music-loving nonmusician","4 Professional working proficiency","male",28,"TR","Asia"
1178,"2 Music-loving nonmusician","6 Native or bilingual proficiency","male",24,"MY","Asia"
1179,"2 Music-loving nonmusician","3 Limited working proficiency","male",28,"VN","Asia"
1180,"3 Amateur musician","3 Limited working proficiency","male",23,"HU","Europe"
1181,"2 Music-loving nonmusician","4 Professional working proficiency","male",20,"GR","Europe"
1182,"3 Amateur musician","3 Limited working proficiency","male",35,"HR","Europe"
1183,"2 Music-loving nonmusician","6 Native or bilingual proficiency","male",23,"BA","Europe"
1184,"2 Music-loving nonmusician","3 Limited working proficiency","male",28,"IN","Asia"
1185,"2 Music-loving nonmusician","2 Elementary proficiency","male",19,"TR","Asia"
1187,"2 Music-loving nonmusician","5 Full professional proficiency","male",24,"BD","Asia"
1188,"2 Music-loving nonmusician","3 Limited working proficiency","female",24,"IN","Asia"
1191,"2 Music-loving nonmusician","2 Elementary proficiency","male",30,"SA","Asia"
1192,"2 Music-loving nonmusician","4 Professional working proficiency","male",42,"CO","South America"
1193,"2 Music-loving nonmusician","3 Limited working proficiency","male",35,"IN","Asia"
1194,"3 Amateur musician","3 Limited working proficiency","male",32,"ES","Europe"
1195,"3 Amateur musician","3 Limited working proficiency","male",25,"IN","Asia"
1196,"2 Music-loving nonmusician","4 Professional working proficiency","male",26,"BG","Europe"
1198,"1 Nonmusician","4 Professional working proficiency","female",21,"VE","South America"
1199,"2 Music-loving nonmusician","2 Elementary proficiency","male",52,"ES","Europe"
1200,"3 Amateur musician","2 Elementary proficiency","male",27,"ID","Asia"
1201,"1 Nonmusician","6 Native or bilingual proficiency","male",37,"HK","Asia"
1202,"2 Music-loving nonmusician","6 Native or bilingual proficiency","female",21,"LT","Europe"
1203,"1 Nonmusician","3 Limited working proficiency","male",38,"MY","Asia"
1204,"3 Amateur musician","4 Professional working proficiency","female",25,"BE","Europe"
1205,"2 Music-loving nonmusician","5 Full professional proficiency","female",33,"PT","Europe"
1207,"2 Music-loving nonmusician","2 Elementary proficiency","male",28,"LK","Asia"
1209,"2 Music-loving nonmusician","2 Elementary proficiency","male",39,"ES","Europe"
1210,"2 Music-loving nonmusician","6 Native or bilingual proficiency","male",19,"VE","South America"
1211,"2 Music-loving nonmusician","5 Full professional proficiency","female",50,"US","North America"
1212,"2 Music-loving nonmusician","5 Full professional proficiency","female",30,"IN","Asia"
1213,"4 Serious amateur musician","3 Limited working proficiency","male",24,"RO","Europe"
1214,"3 Amateur musician","5 Full professional proficiency","male",28,"TR","Asia"
1216,"2 Music-loving nonmusician","4 Professional working proficiency","female",24,"IN","Asia"
1218,"2 Music-loving nonmusician","3 Limited working proficiency","male",21,"PT","Europe"
1219,"1 Nonmusician","3 Limited working proficiency","male",,"RS","Europe"
1220,"3 Amateur musician","5 Full professional proficiency","male",42,"IT","Europe"
1221,"2 Music-loving nonmusician","3 Limited working proficiency","male",39,"BG","Europe"
1222,"1 Nonmusician","3 Limited working proficiency","male",25,"AR","South America"
1223,"2 Music-loving nonmusician","6 Native or bilingual proficiency","female",31,"GB","Europe"
1224,"2 Music-loving nonmusician","4 Professional working proficiency","male",32,"IN","Asia"
1225,"1 Nonmusician","1 No proficiency","male",26,"BG","Europe"
1226,"3 Amateur musician","2 Elementary proficiency","male",47,"CZ","Europe"
1227,"2 Music-loving nonmusician","3 Limited working proficiency","female",17,"VE","South America"
1228,"1 Nonmusician","6 Native or bilingual proficiency","male",37,"HK","Asia"
1229,"4 Serious amateur musician","4 Professional working proficiency","male",33,"CO","South America"
1230,"2 Music-loving nonmusician","4 Professional working proficiency","male",22,"BD","Asia"
1231,"4 Serious amateur musician","4 Professional working proficiency","male",35,"PH","Asia"
1232,"3 Amateur musician","5 Full professional proficiency","male",24,"IN","Asia"
1233,"2 Music-loving nonmusician","4 Professional working proficiency","male",23,"BG","Europe"
1234,"1 Nonmusician","3 Limited working proficiency","male",36,"IN","Asia"
1235,"3 Amateur musician","2 Elementary proficiency","female",31,"IT","Europe"
1236,"1 Nonmusician","6 Native or bilingual proficiency","female",,"CA","North America"
1238,"2 Music-loving nonmusician","5 Full professional proficiency","male",21,"IN","Asia"
1239,"1 Nonmusician","4 Professional working proficiency","female",31,"MX","North America"
1242,"2 Music-loving nonmusician","6 Native or bilingual proficiency","female",46,"NL","Europe"
1243,"1 Nonmusician","3 Limited working proficiency","female",38,"ES","Europe"
1244,"2 Music-loving nonmusician","5 Full professional proficiency","male",34,"RU","Europe"
1245,"2 Music-loving nonmusician","2 Elementary proficiency","female",38,"IT","Europe"
1246,"2 Music-loving nonmusician","4 Professional working proficiency","female",39,"VE","South America"
1247,"4 Serious amateur musician","3 Limited working proficiency","male",35,"ES","Europe"
1248,"2 Music-loving nonmusician","2 Elementary proficiency","male",28,"IN","Asia"
1249,"2 Music-loving nonmusician","3 Limited working proficiency","male",22,"BR","South America"
1251,"2 Music-loving nonmusician","4 Professional working proficiency","male",28,"DE","Europe"
1252,"2 Music-loving nonmusician","6 Native or bilingual proficiency","female",26,"RO","Europe"
1253,"1 Nonmusician","4 Professional working proficiency","male",22,"SI","Europe"
1254,"3 Amateur musician","2 Elementary proficiency","male",30,"MK","Europe"
1255,"2 Music-loving nonmusician","5 Full professional proficiency","female",37,"IN","Asia"
1256,"2 Music-loving nonmusician","4 Professional working proficiency","male",25,"LK","Asia"
1257,"1 Nonmusician","3 Limited working proficiency","male",25,"ID","Asia"
1258,"3 Amateur musician","4 Professional working proficiency","male",29,"RO","Europe"
1261,"2 Music-loving nonmusician","2 Elementary proficiency","male",25,"BD","Asia"
1262,"2 Music-loving nonmusician","2 Elementary proficiency","male",32,"US","North America"
1263,"2 Music-loving nonmusician","4 Professional working proficiency","male",38,"RO","Europe"
1264,"1 Nonmusician","6 Native or bilingual proficiency","male",27,"TW","Asia"
1265,"2 Music-loving nonmusician","5 Full professional proficiency","male",21,"BR","South America"
1266,"2 Music-loving nonmusician","2 Elementary proficiency","male",49,"RU","Europe"
1267,"2 Music-loving nonmusician","3 Limited working proficiency","male",20,"ID","Asia"
1268,"2 Music-loving nonmusician","1 No proficiency","male",22,"IN","Asia"
1269,"1 Nonmusician","4 Professional working proficiency","male",23,"AR","South America"
1271,"3 Amateur musician","3 Limited working proficiency","male",33,"RO","Europe"
1273,"1 Nonmusician","1 No proficiency","female",28,"ES","Europe"
1274,"2 Music-loving nonmusician","5 Full professional proficiency","male",21,"IN","Asia"
1275,"2 Music-loving nonmusician","2 Elementary proficiency","male",42,"TH","Asia"
1277,"2 Music-loving nonmusician","1 No proficiency","female",34,"VN","Asia"
1278,"2 Music-loving nonmusician","6 Native or bilingual proficiency","female",51,"GB","Europe"
1279,"2 Music-loving nonmusician","4 Professional working proficiency","male",30,"IN","Asia"
1280,"1 Nonmusician","4 Professional working proficiency","female",44,"VE","South America"
1281,"2 Music-loving nonmusician","4 Professional working proficiency","male",35,"RO","Europe"
1282,"2 Music-loving nonmusician","4 Professional working proficiency","female",,"SA","Asia"
1283,"2 Music-loving nonmusician","2 Elementary proficiency","male",31,"IN","Asia"
1284,"3 Amateur musician","3 Limited working proficiency","male",24,"US","North America"
1285,"1 Nonmusician","5 Full professional proficiency","male",41,"IN","Asia"
1286,"1 Nonmusician","5 Full professional proficiency","male",,"IN","Asia"
1288,"2 Music-loving nonmusician","5 Full professional proficiency","male",20,"IN","Asia"
1289,"3 Amateur musician","2 Elementary proficiency","male",30,"MK","Europe"
1290,"1 Nonmusician","6 Native or bilingual proficiency","female",45,"GB","Europe"
1291,"2 Music-loving nonmusician","2 Elementary proficiency","female",43,"RO","Europe"
1292,"2 Music-loving nonmusician","3 Limited working proficiency","male",54,"DE","Europe"
1293,"1 Nonmusician","3 Limited working proficiency","male",23,"HU","Europe"
1294,"2 Music-loving nonmusician","3 Limited working proficiency","female",27,"PT","Europe"
1295,"3 Amateur musician","4 Professional working proficiency","male",36,"IT","Europe"
1296,"5 Semi-professional musician","3 Limited working proficiency","male",36,"TR","Asia"
1297,"3 Amateur musician","2 Elementary proficiency","male",26,"BG","Europe"
1299,"1 Nonmusician","3 Limited working proficiency","male",,"VE","South America"
1301,"2 Music-loving nonmusician","3 Limited working proficiency","female",19,"PL","Europe"
1305,"3 Amateur musician","2 Elementary proficiency","male",35,"PL","Europe"
1307,"2 Music-loving nonmusician","6 Native or bilingual proficiency","male",26,"IN","Asia"
1308,"3 Amateur musician","2 Elementary proficiency","male",30,"MK","Europe"
1309,"2 Music-loving nonmusician","3 Limited working proficiency","female",30,"BA","Europe"
1311,"1 Nonmusician","1 No proficiency","female",25,"BA","Europe"
1312,"2 Music-loving nonmusician","5 Full professional proficiency","male",36,"IN","Asia"
1313,"2 Music-loving nonmusician","3 Limited working proficiency","male",33,"AT","Europe"
1314,"3 Amateur musician","4 Professional working proficiency","male",28,"TR","Asia"
1317,"1 Nonmusician","2 Elementary proficiency","female",41,"LK","Asia"
1318,"1 Nonmusician","6 Native or bilingual proficiency","male",31,"IN","Asia"
1319,"6 Professional musician","6 Native or bilingual proficiency","male",21,"US","North America"
1328,"2 Music-loving nonmusician","4 Professional working proficiency","male",35,"RS","Europe"
1329,"1 Nonmusician","4 Professional working proficiency","male",25,"BG","Europe"
1330,"3 Amateur musician","2 Elementary proficiency","male",,"RO","Europe"
1331,"1 Nonmusician","1 No proficiency","male",22,"IN","Asia"
1333,"2 Music-loving nonmusician","4 Professional working proficiency","male",22,"RO","Europe"
1334,"2 Music-loving nonmusician","4 Professional working proficiency","male",44,"ES","Europe"
1335,"1 Nonmusician","4 Professional working proficiency","female",29,"GB","Europe"
1339,"1 Nonmusician","4 Professional working proficiency","male",33,"ID","Asia"
1341,"2 Music-loving nonmusician","2 Elementary proficiency","male",25,"BD","Asia"
1344,"3 Amateur musician","5 Full professional proficiency","male",20,"PT","Europe"
1346,"1 Nonmusician","2 Elementary proficiency","male",46,"HU","Europe"
1355,"2 Music-loving nonmusician","3 Limited working proficiency","male",32,"IN","Asia"
1358,"1 Nonmusician","4 Professional working proficiency","female",25,"AT","Europe"
1359,"2 Music-loving nonmusician","3 Limited working proficiency","female",36,"RO","Europe"
1360,"2 Music-loving nonmusician","4 Professional working proficiency","male",30,"ID","Asia"
1361,"1 Nonmusician","3 Limited working proficiency","female",59,"IN","Asia"
1366,"2 Music-loving nonmusician","4 Professional working proficiency","male",21,"RO","Europe"
1367,"3 Amateur musician","2 Elementary proficiency","female",27,"VN","Asia"
1368,"2 Music-loving nonmusician","6 Native or bilingual proficiency","female",,"CA","North America"
1369,"1 Nonmusician","4 Professional working proficiency","male",,"SE","Europe"
1371,"1 Nonmusician","2 Elementary proficiency","male",23,"VN","Asia"
1372,"3 Amateur musician","4 Professional working proficiency","male",19,"LT","Europe"
1374,"2 Music-loving nonmusician","4 Professional working proficiency","female",19,"TR","Asia"
1375,"4 Serious amateur musician","5 Full professional proficiency","male",22,"TR","Asia"
1378,"1 Nonmusician","2 Elementary proficiency","male",24,"PE","South America"
1380,"1 Nonmusician","3 Limited working proficiency","male",23,"RO","Europe"
1384,"2 Music-loving nonmusician","3 Limited working proficiency","male",23,"BR","South America"
1387,"1 Nonmusician","1 No proficiency","female",30,"LT","Europe"
1388,"4 Serious amateur musician","4 Professional working proficiency","male",,"VE","South America"
1391,"2 Music-loving nonmusician","6 Native or bilingual proficiency","female",31,"US","North America"
1394,"1 Nonmusician","1 No proficiency","male",31,"PT","Europe"
1397,"2 Music-loving nonmusician","6 Native or bilingual proficiency","male",36,"TT","North America"
1401,"2 Music-loving nonmusician","5 Full professional proficiency","female",29,"ZA","Africa"
1402,"1 Nonmusician","6 Native or bilingual proficiency","female",22,"CA","North America"
1403,"2 Music-loving nonmusician","5 Full professional proficiency","male",35,"PK","Asia"
1406,"2 Music-loving nonmusician","3 Limited working proficiency","female",31,"BA","Europe"
1407,"2 Music-loving nonmusician","2 Elementary proficiency","male",23,"HU","Europe"
1408,"2 Music-loving nonmusician","1 No proficiency","male",25,"RS","Europe"
1410,"3 Amateur musician","4 Professional working proficiency","female",24,"HR","Europe"
1411,"4 Serious amateur musician","6 Native or bilingual proficiency","male",29,"RO","Europe"
1416,"1 Nonmusician","4 Professional working proficiency","male",38,"ID","Asia"
